City,Country,Latitude,Longitude,WeatherCondition
Vancouver,Canada,49.24966,-123.119339,Rainy
Portland,United States,45.523449,-122.676208,Sunny
San Francisco,United States,37.774929,-122.419418,Sunny
Seattle,United States,47.606209,-122.332069,Sunny
Los Angeles,United States,34.052231,-118.243683,Rainy
San Diego,United States,32.715328,-117.157257,Sunny
Las Vegas,United States,36.174969,-115.137222,Rainy
Phoenix,United States,33.44838,-112.074043,Sunny
Albuquerque,United States,35.084492,-106.651138,Sunny
Denver,United States,39.739151,-104.984703,Rainy
San Antonio,United States,29.42412,-98.493629,Rainy
Dallas,United States,32.783058,-96.806671,Sunny
Houston,United States,29.763281,-95.363274,Rainy
Kansas City,United States,39.099731,-94.578568,Rainy
Minneapolis,United States,44.979969,-93.26384,Rainy
Saint Louis,United States,38.62727,-90.197891,Sunny
Chicago,United States,41.850029,-87.650047,Rainy
Nashville,United States,36.16589,-86.784439,Sunny
Indianapolis,United States,39.768379,-86.158043,Sunny
Atlanta,United States,33.749001,-84.387978,Rainy
Detroit,United States,42.331429,-83.045753,Rainy
Jacksonville,United States,30.33218,-81.655647,Rainy
Charlotte,United States,35.227089,-80.843132,Sunny
Miami,United States,25.774269,-80.193657,Rainy
Pittsburgh,United States,40.44062,-79.995888,Sunny
Toronto,Canada,43.700111,-79.416298,Rainy
Philadelphia,United States,39.952339,-75.163788,Sunny
New York,United States,40.714272,-74.005966,Rainy
Montreal,Canada,45.508839,-73.587807,Sunny
Boston,United States,42.358429,-71.059769,Sunny
Beersheba,Israel,31.25181,34.791302,Sunny
Tel Aviv District,Israel,32.083328,34.799999,Sunny
Eilat,Israel,29.55805,34.948212,Sunny
Haifa,Israel,32.815559,34.98917,Rainy
Nahariyya,Israel,33.005859,35.09409,Sunny
Jerusalem,Israel,31.769039,35.216331,Rainy
